 6205=[174,890]
 2115=[578,964]
 2174=[381,617]
 8333=[20,44]
 161=[254,345]
 176=[81,681]
 4285=[192,363]
 2287=[786,808]
 317=[215,431]
 6486=[262,435]
 4457=[793,907]
 371=[344,589,814]
 2524=[342,693]
 4592=[276,544]
 6757=[226,969]
 2765=[659,977]
 8949=[440,479]
 2807=[499,558]
 6918=[97,257]
 2854=[332,826]
 4956=[149,924]
 9101=[80,638]
 910=[100,217]
 7063=[452,740]
 9112=[53,868]
 7160=[83,253]
 1142=[415,445]
 9336=[12,624]
 1166=[348,889]
 3289=[720,836]
 5344=[707,981]
 5428=[365,674]
 9566=[291,521]
 5498=[421,678]
 1584=[265,978]
 9778=[758,823]
 3651=[67,442]
 5765=[418,426] ====  8
 3760=[198,950]
 7870=[625,920]
 7961=[474,710,755]
